name,price,status,shipping,free_returns,items_sold
SIGNED Donald Trump Hand sign  Autographed USA Jersey W/COA,99900,,590,True,
Donald Trump Make America Great Again Signed 13 x 19 Campaign Poster JSA,120000,Brand New,1595,True,
Donald Trump President Signed USA Baseball Jersey with Maga Hat Proof Autograph,99998,Brand New,1000,True,
TED NUGENT signed autographed DONALD TRUMP President photo SHEMANE Oval Office,8995,Brand New,0,False,
DONALD J. TRUMP - AUTOGRAPHED SIGNED PHOTOGRAPH,95000,Pre-Owned,2100,False,
45th President Donald Trump Signed 8x10 Gold Ink,44999,Brand New,695,False,
DONALD J. TRUMP U.S. PRESIDENT / 2016 DECISION CUT SIGNATURE AUTOGRAPH AUTO CARD,339999,,2500,False,
President Donald Trump Signed Book The Art Of The Deal Official 2016 Election !,70000,Brand New,,True,0
2016 Decision Donald Trump Cut Signature autograph signed auto,300000,Pre-Owned,4950,False,0
Donald Trump - Think Like a Billionaire - SIGNED 1st 1st - President USA - NR,85000,,570,True,
SIGNED DONALD TRUMP signed autographed FDC for Frank Lloyd Wright (30 Sep 1982),17900,,520,True,
RUDY GUILIANI SIGNED 8X10 PHOTO NYC MAYOR DONALD TRUMP B W/COA+PROOF RARE WOW,13500,Brand New,0,False,
RARE Donald Trump Signed Autographed Golf Ball with COA POTUS 45 MAGA,49900,Brand New,520,True,
RARE Donald Trump SIGNED App Photo TTM 2.5x3 Card - USA MAGA Autograph - 2024,24999,Brand New,985,False,
DONALD TRUMP SIGNED 8X10 PHOTO 45TH PRESIDENT MAGA 2024 W/COA+PROOF RARE WOW ,60000,Brand New,0,False,
MAGA US President Donald Trump Signed Photo Photograph Document Autograph USA 45,35996,Pre-Owned,0,True,
RARE PRESIDENT DONALD TRUMP VIETNAM VETERAN CERTIFICATE LETTER DOCUMENT!!!,29900,Brand New,475,False,
Donald Trump - 45th President - Original Autograph - Hand Signed 8x10 w/Holo COA,16999,Brand New,700,False,0
"President Donald Trump 8 1/2""x11  on Card Stock... Photo Portrait Picture +Decal",1489,Brand New,,True,75
Donald Trump Autographed Signed Bumper Sticker,35000,,0,False,
Mike Pence Autograph Signed Beckett BAS Political psa Trump Vice President,19999,,500,False,
ERIC TRUMP AUTOGRAPHED SIGNED MAKE LIBERALS CRY AGAIN 2020 HAT DONALD JSA COA,13999,,0,False,0
President Donald Trump 8 X10 Signed 100% Authentic Letter Of Authenticity COA Ex,44999,Pre-Owned,899,False,
AUTOGRAPHED Donald J. Trump 1990 SURVIVING AT THE TOP Signed First Edition Book,124995,,0,False,
Rare President Donald J Trump Signed Dollar Bill Presidential Autograph Currency,134995,Pre-Owned,0,True,
DONALD TRUMP SIGNED AUTOGRAPH HUNTERS HOPE CHARITY PROGRAM + MORE GRETZKY MARINO,309399,Brand New,0,False,
PRESIDENT DONALD TRUMP BOLD SIGNED AUTOGRAPHED MAGA BASEBALL HAT CAP COA ,99000,Brand New,0,False,
"PSA/DNA President DONALD TRUMP Signed Autographed ""THE GAME"" Playing Card Auto",499999,Brand New,15000,False,
Donald Trump Signed Campaign Note SGC CoA Auto Autograph,44500,Brand New,445,False,
Barack Obama Signed Souvenir Speech re Donald Trump,450000,,1595,True,
President Donald Trump Signed NY Yankees Golf Event Cap with Full JSA Letter,89900,Pre-Owned,0,True,
DONALD TRUMP TIME MAGAZINE JANUARY 23 2017 NO LABEL INCOMING ,1100,,575,False,
DONALD TRUMP SIGNED AUTOGRAPHED MAKE AMERICA GREAT AGAIN HAT PRESIDENT JSA,449995,,2000,False,
