name,price,status,shipping,free_returns,items_sold
Pomona Pitzer College Sagehens The Game Split Bar Vintage 90's Snapback Cap Hat,3995,Brand New,0,False,
CA Pomona 1964 vintage postcard CALIFORNIA STATE POLYTECHNIC COLLEGE Kellogg,619,Pre-Owned,131,False,
"RPPC Zoology Building, Pomona College, Claremont, CA c1930s Frashers Postcard",1700,Pre-Owned,100,False,
Orig Vtg 1908 Mabelle Ella Craig Pomona College Graduate Photograph Photo Wm ,5000,,,True,
RPPC  Bridges Hall Pomona College Claremont Califirnia  -  A8,1650,Pre-Owned,335,False,
"RPPC Claremont,CA Pomona College Los Angeles County California Postcard Vintage",3999,Pre-Owned,400,False,
CLAREMONT CA Pomona College Albert Smiley Hall Vintage RPPC Postcard Old Photo,1250,Pre-Owned,0,False,
Wedgwood Pomona College blue white Patio of Harwood Court plate,3999,Pre-Owned,1015,True,
"Claremont, California CA ~ Pomona College  ",525,Pre-Owned,150,False,
"RPPC Harwood Court Pomona College, Claremont, California c1940s Vintage Postcard",899,Pre-Owned,100,False,
"RPPC Claremont Inn,Pomona College,CA Los Angeles County California Postcard",2999,Pre-Owned,400,False,
Pomona College Handbook/Lookbook 1976-77 Catalog Book,1674,Pre-Owned,375,True,
Vtg 90s Cal Poly Pomona Gardening Club Faded Shirt L USA College Flower Grunge,4495,Pre-Owned,590,False,
Rare! 1919-1923 Pomona College Hobo Club Gold Fraternity Pin Train CAR,8999,Pre-Owned,0,False,
Postcard Claremont California Bridges Hall Pomona College,450,Pre-Owned,0,True,
"1980s+ Bridges Hall of Music Pomona College San Gabriel Mts., Claremont CA 4x6 ",100,,150,False,
CAL POLY POMONA SHORT SLEEVE CREW NECK T SHIRT SIZE LARGE,1795,Pre-Owned,,False,
Pomona College Navy Yellow 1887 Short Sleeve 100%Cotton T Shirt S,500,Pre-Owned,800,False,
Pomona College 1902 Photographs Lot Claremont Calif Eaton Canyon San Gabriel Mtn,3000,,,False,
Pomona College CLAREMONT California RPPC Antique Photo Postcard~1930s,1299,Pre-Owned,100,False,
"CLAREMONT , California , 1908 ; Pomona College",600,Pre-Owned,350,False,
Pomona College Hall CLAREMONT California RPPC Antique Photo Postcard 1930s,1299,Pre-Owned,100,False,
"1936 Press Photo Pomona College, Calif. Hopwood,Hall,Gardner,Jenkins,Dunn",1888,,499,True,
"1910. LORDSBURG COLLEGE, NEAR POMONA, CA. POSTCARD SC5",2000,,,True,
Pre-1980 Pomona College - Claremont - Near San Bernardino & Los Angeles CA E1300,198,,249,False,
Pomona College Navy Yellow 1887 Short Sleeve 100%Cotton T Shirt S,400,Pre-Owned,800,False,
Mabels Shaw Bridges Auditorium Claremont College Pomona Campus California~ 1960s,328,Pre-Owned,165,False,
1952 POMONA CLAREMONT AT SANTA BARBARA COLLEGE FOOTBALL PROGRAM EX PLUS,2499,,399,False,
"CLAREMONT, California CA ~ Holmes Hall POMONA COLLEGE ca 1907 Postcard",678,,,True,
POMONA COLLEGE 1958 CALENDAR,1558,,0,False,
"RPPC CLAREMONT, CA ~ POMONA COLLEGE Farry Hall c1940s  Frasher Postcard",763,,,True,
"Holmes Hall, Pomona College, Claremont, CA Real Photo Postcard",800,Pre-Owned,100,False,
Unused Pre-1980 MEMORIAL WALK AT POMONA COLLEGE Claremont California CA L8931@,198,,249,False,
Wedgwood Pomona College blue white Mason Hall of Chemistry plate,3999,Pre-Owned,1015,True,
Unused Pre-1980 STOVER LANE AT POMONA COLLEGE Claremont California CA Q3089,198,,249,False,
RPPC Claremont CA View of Claremont Inn on Pomona College Campus 1950,769,,250,False,
Zephyr Auburn University Pomona Alabama Tigers Baseball Cap Hat College Town,2795,Brand New,0,False,
Pomona College California Yearbook 1978-79 Metate Vintage,4999,,571,False,
POMONA COLLEGE CLAREMONT  ASTRONOMICAL SOCIETY PUBLICATION APTIL 1913,1911,,0,False,
"POMONA COLLEGE CLAREMONT  ASTRONOMICAL SOCIETY PUBLICATION JUNE, 1911",1911,,0,False,
POMONA COLLEGE CLAREMONT  ASTRONOMICAL SOCIETY PUBLICATION JULY 1913,1911,,0,False,
CALIFORNIA POSTCARD E+8286 POMONA COLLEGE IN CLAREMONT,698,Pre-Owned,,False,
Claremont CA~Bldg w/Clay Tile Roof Near Pomona College Gated Entrance~1920s PC,490,,100,True,
" Pearson's Hall, Pomona College, Claremont, CA Real Photo Postcard",600,Pre-Owned,100,False,
"WEDGWOOD POMONA COLLEGE BRIDGES AUDITORIUM 10 3/4"" PLATE",3995,Pre-Owned,1080,True,
"Vintage California State Polytechnic University Pomona, CA Keychain - College",599,,300,False,
"WEDGWOOD POMONA COLLEGE 10 3/4"" COLLEGE AVENUE PLATE",3995,Pre-Owned,1080,True,
Pre-1980 California State Polytechnic College - Pomona CA E1292,198,,249,False,
CALIFORNIA POSTCARD T_3056 SEAVER LABORATORY AT POMONA COLLEGE,398,Pre-Owned,,False,
"POMONA COLLEGE CLAREMONT  ASTRONOMICAL SOCIETY PUBLICATION DECEMBER, 1911",1911,,0,False,
"Pomona College, Claremont, California CA Postcard - Stover Memorial Walk",1095,Pre-Owned,100,True,0
POSTCARD RPPC STUDENT UNION POMONA COLLEGE CLAREMONT CALIFORNIA,700,,100,False,
AG1344 - USA - POMONA COLLEGE - GIRLS DORMITORY - CLAREMONT - CAL. - RPPC,1050,,300,False,
"Photo. ca 1901. Claremont, CA. Pomona College Baseball Squad",1970,,0,False,
Victorian Female Pomona College Graduates Photographs Lot of 2 1900 University,1500,,350,False,
Chrome COLLEGE SCENE Pomona California CA AG7234,397,,249,False,
CLAREMONT CALIFORNIA ENTRANCE TO POMONA COLLEGE VINTAGE REAL PHOTO POSTCARD,799,,200,False,
1941 POMONA COLLEGE YEARBOOK CLAREMONT CALIFORNIA,3000,Pre-Owned,508,False,
"Claremont, California, Pomona College - Postcard (B17)",129,,150,False,
"SUMNER HALL, POMONA COLLEGE CLAREMONT, CALIFORNIA POSTCARD USED 372",300,,150,False,
"CALIFORNIA, CLAREMONT POMONA COLLEGE BRIDGES HALL OF MUSIC(CA-C*)",175,Pre-Owned,165,False,0
1961 CAL POLY POMONA CSU YEARBOOK CALIFORNIA STATE COLLEGE TECH ANNUAL ,6499,,508,False,
Muse or Ego Artists 1880's Pomona College Gallery 1963 Daumier Cabanel Boulanger,2819,Pre-Owned,0,True,
The Art of the Sublime Romantic Paintings 1750-1850 Pomona College Gallery 1964,2819,Pre-Owned,0,True,
,,,,False,
1971 CAL POLY (POMONA) AT SANTA CLARA COLLEGE FOOTBALL PROGRAM  EX-MINT,1499,,350,False,
POMONA JUNIOR COLLEGE CLASS OF 1945 53rd annual commencement PHOTO,895,,250,True,
Vintage Cal Poly Pomona College of Engineering Glass Coffee Mug USA Made,1200,,999,False,
My Pomona College: A Memoir,535,Pre-Owned,0,False,
POMONA College University Graduation Reunion Alumni Crest Seal Patch ED EDU CA ,2499,Brand New,,False,
California Polytechnic State College VINTAGE pennant Cal Poly old RARE POMONA,9999,,0,False,
Pomona College Alumni Weekend 1980 The Seaver House Button,2499,Pre-Owned,510,False,
Chrome FUTURISTIC STUDENT CENTER AT LA VERNE COLLEGE Pomona California CA L8712,198,,249,False,
CA POMONA CALIFORNIA Postcard POLY ROYAL LIBERTY MOVIE HORSE POLYTECHNIC COLLEGE,699,,0,False,
State Polytechnic College Kellogg Campus Horse Race Show CA Vintage Postcard,868,Pre-Owned,399,True,
"1910. HOLMES HALL. POMONA COLLEGE. CLAREMONT, CA POSTCARD. CB5",800,,,True,
💙🤍 Pomona College Hat Vintage (Brand New) 💙🤍 ,3000,Brand New,269,False,
Vintage Wedgwood China POMONA COLLEGE PLATE Plaza Men's Campus Mildred Brooks,3495,,1595,False,
Zephyr University of Nebraska Lincoln Pomona Huskers Baseball Cap Hat Adjust,2795,Brand New,0,False,
"1968 CALIFORNIA STATE POLY (POMONA, CA) COLLEGE FOOTBALL SOCCER +MEDIA GUIDE",3499,,399,False,
Clifford Merrill Drury / RUDOLPH JAMES WIG ENGINEER POMONA COLLEGE TRUSTEE 1st,3500,,400,False,
Vintage Pomona College dissecting kit & Blood letting tool with scissors.,3000,,595,False,
1961 CAL POLY POMONA CSU YEARBOOK CALIFORNIA STATE COLLEGE TECH ANNUAL + BONUS,5999,Pre-Owned,785,False,
The Stolen Light Pomona College California Ved Mehta Memoirs Biography India '89,1946,Pre-Owned,,True,
"CALIFORNIA, CLAREMONT POMONA COLLEGE MILLIKAN LABORATORY (CA-C)",175,Pre-Owned,165,False,
Pomona College Paperweight Allen F. Hawley Society Alumni Claremont California ,2199,Pre-Owned,299,False,
POMONA COLLEGE METATE 1931 YEARBOOK-OWNED BY PAUL PEASE,2231,,0,False,
Photo. 1903-4. Pomona College. Baseball Team,1970,,0,False,
Vintage Cal Poly Pomona College Tee Shirt Size XLarge Green ,2499,Pre-Owned,499,False,
ZU254 Vintage RPPC Mudd Hall Pomona College Claremont California,1699,Pre-Owned,311,False,
1933 POMONA JUNIOR COLLEGE YEARBOOK BURNED DOWN AS POMONA HS ART DECO DESIGN,5999,,445,False,
1927 Press Photo Pomona College Debate Team 1920s P French H Tay J Whyte,3000,,499,True,
"KRIS KRISTOFFERSON COLLEGE YEARBOOK/ORIGINAL 1958 POMONA, CLAIREMONT, CALIFORNIA",14442,Pre-Owned,,False,
California Pomona College Music Professor Song Club Director Biography 1979,10974,Pre-Owned,,True,
1977 CAL POLY POMONA at BALL STATE (INDIANA) COLLEGE FOOTBALL PROGRAM EX-MINT,1499,,399,False,
1972 Press Photo Claremont Men's College President at Pomona College Campus,1388,,499,True,
"Little Bridges Auditorium, POMONA COLLEGE Claremont Calif. WW2 1943",399,Pre-Owned,125,False,
Holmes Hall Pomona College Claremont CA Normon Postcard Germany 1910,1599,,550,False,
1974 California State Polytechnic College Pomona CA Yearbook Annual Madre Tierra,9995,Pre-Owned,571,False,
"VIntage Postcard-Smiley Hall, Pomona College, Claremont, CA",799,Pre-Owned,,False,
 Pomona College Gymnasium Claremont CA Newman Postcard Germany 1910,1599,,550,False,
1924 Photo Miss Katherine Newkirk Pomona College CA Chairman Assembly YWCA,1888,,399,True,
1970 Photo CA State Polytechnic College Pomona Real Horse Student Animal Girl,1888,,399,True,
1981 CAL POLY POMONA AT NAU NORTHERN ARIZONA COLLEGE FOOTBALL PROGRAM EX-MINT,1199,,595,False,
Pomona College Journal of Economic Botany 1911 1912 Lot of 3,2499,Pre-Owned,599,False,
Mayfairstamps US California 1953 Mariposa to Pomona College Road Mountains Postc,100,,125,False,
Vintage Cal Poly Pomona College-NCAA Baseball Rawlings Jersey Size XL. #8. Green,12500,Pre-Owned,795,False,
1941 POMONA COLLEGE YEARBOOK CLAREMONT CALIFORNIA,2999,,695,False,
POMONA COLLEGE SAGEHENS  NCAA FELT PENNANT 10/16/21,695,,550,False,
California Poly Pomona College Football Team issue #11 practice shorts Large,5000,Pre-Owned,,True,
1959 POMONA COLLEGE YEARBOOK METATE CLAREMONT CALIFORNIA,2499,,508,False,
Vintage Cal Poly Pomona Fraternity XL T Shirt California State University,4399,Pre-Owned,,False,
"Holmes Hall, Pomona College, Claremont, California, Antique Newman Postcard",499,Brand New,100,False,
CAL POLY POMONA VINTAGE 80s GALT SAND COLLEGE SPELLOUT SWEATSHIRT MEDIUM,3000,Pre-Owned,1000,False,
"Science Hall, Pomona College, Claremont, California, Antique Newman Postcard",499,Brand New,100,False,
Pomona College _RARE ORIGINAL 50's Pennant Keychain vtg Sagehens Claremont Cal,1999,,499,False,
Real Photo Postcard Harwood Court Pomona College Claremont CA,750,,250,False,
"KRIS KRISTOFFERSON COLLEGE YEARBOOK/ORIGINAL 1958 POMONA, CLAREMONT, CALIFORNIA",9900,,10000,False,
1939 Press Photo John E. Steere outstanding Basic Cadet in Pomona College.,1999,,499,True,
"Historic c1914 POMONA COLLEGE HOLMES HALL 4 1/8"" STERLING SILVER SOUVENIR SPOON",3277,,585,True,
Carnegie Library Claremont California Pomona College Sterling Souvenir Spoon,5500,,,False,
NCAA FOOTBALL 1980 CAL POLY POMONA pocket schedule ,119,,94,False,
1926 Bruins Mascot Chained During Uc Vs Pomona College Game Animals Photo 6X8,2499,,399,True,
State Polytechnic College Lily Ponds Banana Trees Flowers CA Vintage Postcard,868,Pre-Owned,399,True,
WHITTIER  POMONA COLLEGE FOOTBALL PROGRAM - 1959 - EX,1950,,450,True,
Claremont California Pomona College Bridges Hall Frasher Real Photo PC AA30460,1675,,200,False,
Pomona College Claremont 1909 Baseball Team Picture,1200,,250,False,
1952 Pomona College/Claremont Men’s College Football Banquet Program,495,,385,True,
"WEDGWOOD POMONA COLLEGE PATIO OF HARWOOD COURT 10 3/4"" PLATE",2495,Pre-Owned,1080,True,
University Graduation Gift Photo Mat Personalized College Campus Memories Custom,2595,Brand New,0,False,
Early Twentieth Century German Prints From The Pomona College Collection 1983,999,Pre-Owned,319,False,
,,,,False,
Alfani Men's Neck Tie Pink Pomona Polka Dot Skinny Slim Silk Accessory $55 #305,1128,Brand New,0,True,
Sealed ~ LOT of (2) POMONA COLLEGE Songs of LP PRIVATE William Russell COLOR Wax,6499,Brand New,399,False,
Alfani Men's Neck Tie Pink Pomona Polka Dot Skinny Slim Silk Accessory $55 #295,1299,Brand New,0,True,
"Wedgwood China Pomona College Blue White Plate Bridges Hall of Music 10-3/4""",3999,Pre-Owned,1035,True,
"NORRIS E. BRADBURY, Peace and the Atomic Bomb - Pomona College Bulletin 1949",500,Pre-Owned,319,False,
B0006CZL74 The history of Pomona College  1887-1969,2488,Pre-Owned,0,False,
1965 METATE POMONA COLLEGE YEAR BOOK CLAREMONT CALIFORNIA,3950,Pre-Owned,2195,False,
1967 METATE POMONA COLLEGE YEAR BOOK CLAREMONT CALIFORNIA,3950,Pre-Owned,2195,False,
Pomona College Claremont 1912 Team Picture Baseball Sagehens,1200,,250,False,
1942 POMONA COLLEGE YEARBOOK CLAREMONT CA ,3900,,0,False,
"WEDGWOOD POMONA COLLEGE BRIDGES HALL OF MUSIC 10 3/4"" PLATE",2495,Pre-Owned,1080,True,
1967 Press Photo Phyllis Lamphere Council Claudia Deborah College Pomona 8X10,1299,,399,True,
Pomona College Claremont California 1926 Baseball Team Picture RARE!,1600,,300,False,
"Wedgwood China Pomona College Blue White Plate ""College Avenue"" 10-3/4""",3999,Pre-Owned,1035,True,
1957 California State Polytechnic College Pomona Ca Yearbook Annual Madre Tierra,3995,,895,True,
The Pomona College Symphony Orchestra 1954 Limited Edition  Vinyl LP ,2999,Pre-Owned,,True,
Pomona College Journal of Economic Botany as Applied to Subtropical Horticult...,2228,Brand New,0,False,
"WEDGWOOD POMONA COLLEGE MASON HALL OF CHEMISTRY 10 3/4"" PLATE",2495,Pre-Owned,1080,True,
"The Story of Pomona College, Brand New, Free shipping in the US",5209,Brand New,0,False,
Real Photo Postcard Brides Hall Main Entrance Pomona College CA ,595,Pre-Owned,150,False,
"WEDGWOOD POMONA COLLEGE CARNEGIE LIBRARY 10 3/4"" PLATE",2495,Pre-Owned,1080,True,
Anaheim Mighty Ducks Cal Poly Pomona Broncos College Night Hat Snap Back,2595,Pre-Owned,895,False,
Pomona College _RARE ORIGINAL_ 40's Decal vtg NCAA Sagehens Claremont California,3999,,499,False,
 Pomona College Hoodie JanSport navy  Size Medium Cal sweatshirt ,3799,Pre-Owned,999,False,
BASEBALL~POMONA COLLEGE~PHOTOGRAPH~1903~18X22,47500,,3000,False,
"1924 ""Metate"" Pomona College Yearbook",3999,Pre-Owned,0,False,
Matchbook Cover - Claremont Inn CA Pomona College Campus WEAR,399,Pre-Owned,125,True,
Pomona College ORIGINAL 1930s Felt Banner Sagehens Claremont California Chipenco,34999,,1599,False,
"My Pomona College: A Memoir by Likens, James D Book The Fast Free Shipping",669,Pre-Owned,0,False,
1942 Article Ad Half-Miler Densmore & Jenings Pomona College & Occidental,225,Pre-Owned,595,True,
LOT 8 CA Claremont POMONA COLLEGE by alan Nyiri Campus 4x6 postcard L122,999,Pre-Owned,0,False,
RARE ALLEN HAWLEY/POMONA COLLEGE CHALLENGE COIN ENCASED IN ACRYLIC PAPERWEIGHT,2000,Pre-Owned,,True,
"Vintage Matchcover: The COOP, Pomona College, Claremont, CA   82",780,Pre-Owned,0,False,
Pomona College Claremont CA 1910 Team Picture Baseball,1200,,250,False,
Pomona College Claremont CA 1911 Team Picture Baseball,1200,,250,False,
The Pomona Plan Pomona College Allen F Hawley Society REVERSE Coin Medal,595,,295,False,
Pomona College Claremont California Baseball 1913 Team Picture,1600,,300,False,
Cal Poly Pomona College Volleyball Team Sweatshirt & pants set uniform Men's S,7700,Pre-Owned,,True,
Pomona College Journal of Economic Botany as Applied to Subtropical Horticult...,1879,Brand New,0,False,
Pomona College Claremont California 1930-31 Basketball Team Picture,1600,,300,False,
"WHITTIER VS POMONA CLAREMONT COLLEGE FOOTBALL GAME PROGRAM NOVEMBER 5, 1955",2499,,400,True,
POMONA COLLEGE (CALIFORNIA) MATCHBOOK MATCHCOVER -F6,454,,199,False,
RARE ALLEN HAWLEY / POMONA COLLEGE CHALLENGE COIN ENCASED IN ACRYLIC PAPERWEIGHT,1299,,899,False,
Pomona Pitzer College Claremont  Men's Swim & Dive Team Nike shorts XL 2 pocket,4000,Pre-Owned,,True,
Alfani POMONA DOT Rose Red SKINNY SLIM Men's Necktie (58.5in x 2.75in),1620,Brand New,,False,
1951 RPPC  CLAREMONT INN. POMONA COLLEGE CLAREMONT CAL.,800,,0,False,
1953 Pomona-Claremont College vs. La Verne(Ca.) Football Game Program w/Coke Ad,995,,385,True,
Pomona College Parents - Claremont Colleges Metal License Plate Frame New,1590,Brand New,0,False,
"ORIGINAL 1939 POMONA COLLEGE YEARBOOK/ANNUAL/JOURNAL/CLAREMONT, CALIFORNIA",4930,,,False,
The Story Of Pomona College: By Charles Burt Sumner,3338,Brand New,0,False,
"1929 POMONA COLLEGE YEARBOOK, CLAREMONT, CA ROGER REVELLE",10000,Pre-Owned,999,False,
"ORIGINAL 1959 POMONA COLLEGE YEARBOOK/ANNUAL/JOURNAL CLAIREMONT, CALIFORNIA",4930,,,False,
Whittier College vs Pomona College Hadley Field Football 1961 Program J65346,1600,,700,False,
RARE Cal Poly school Broncos Mustang Horse Pomona alumni small Shirt College,2499,Pre-Owned,599,False,
Pomona College Glee Club - PERSONAL RECORDING 54 - Chivalry Hail! Pomona! Hail',9500,Pre-Owned,700,False,
1952 Los Angeles State vs. Pomona-Claremont Men’s College Football Game Program,995,,385,True,
Pomona College Transparent Blue Piggy Bank Plastic Money Saving Box Coin,999,Brand New,299,False,
REFRIGERATOR MAGNET CALIFORNIA POMONA COLLEGE - 3.75”x 2.5”,275,Brand New,460,False,
Pomona California College 1910 Baseball Team Picture SP VERY RARE,2499,,250,False,
"A Generation Remembers: Pomona College and the World War II Years, Verne Orr",895,Brand New,0,False,
WHITTIER  POMONA-CLAREMONT COLLEGE FOOTBALL PROGRAM - 1953 - EX,2450,,450,True,
VINTAGE REAL PHOTO POSTCARD POMONA COLLEGE CLAREMONT CA 1930'S,2499,Pre-Owned,399,False,
"The Story of Pomona College By Charles Sumner (1914) SIGNED, 1st Ed HC",10000,Pre-Owned,650,False,
"Pomona College ~ WEDGEWOOD 10 3/4"" Dinner Plates Blue SET OF FOUR- PRISTINE",32595,New (Other),,False,
My Pomona College  A Memoir,536,Pre-Owned,0,True,
For Land's Sake by Gordon Hogan From The 1947 Pomona College Extravaganza Record,5999,Pre-Owned,,True,
